┌─────────┬────────────────┬────────┬──────┬───────┬─────────┬────────────┬─────────┬──────────────┬─────────────────┬──────────┬──────────┐
│ (index) │ name           │ n      │ diff │ cells │ freshMs │ freshP95Ms │ buildMs │ maintainedMs │ maintainedP95Ms │ updateMs │ decodeMs │
├─────────┼────────────────┼────────┼──────┼───────┼─────────┼────────────┼─────────┼──────────────┼─────────────────┼──────────┼──────────┤
│ 0       │ 'hash32x4'     │ 10000  │ 100  │ 512   │ 1.9639  │ 2.569      │ 1.8911  │ 0.0768       │ 0.1379          │ 0.0244   │ 0.0282   │
│ 1       │ 'hash128split' │ 10000  │ 100  │ 512   │ 2.0959  │ 2.8482     │ 2.04    │ 0.0772       │ 0.1041          │ 0.0287   │ 0.0268   │
│ 2       │ 'hash32x4'     │ 300000 │ 1000 │ 5000  │ 62.7395 │ 66.7557    │ 62.2429 │ 0.6082       │ 0.8568          │ 0.2795   │ 0.2406   │
│ 3       │ 'hash128split' │ 300000 │ 1000 │ 5000  │ 67.4517 │ 71.6665    │ 67.0823 │ 0.6123       │ 0.8509          │ 0.3046   │ 0.2269   │
└─────────┴────────────────┴────────┴──────┴───────┴─────────┴────────────┴─────────┴──────────────┴─────────────────┴──────────┴──────────┘
┌─────────┬────────────────┬──────┬──────────────┬───────┬────────┬─────────┐
│ (index) │ name           │ diff │ pattern      │ cells │ trials │ success │
│ 52      │ 'hash32x4'     │ 1000 │ 'random'     │ 3000  │ 1000   │ 1000    │
│ 53      │ 'hash128split' │ 1000 │ 'random'     │ 3000  │ 1000   │ 1000    │
│ 54      │ 'hash32x4'     │ 1000 │ 'random'     │ 5000  │ 1000   │ 1000    │
│ 55      │ 'hash128split' │ 1000 │ 'random'     │ 5000  │ 1000   │ 1000    │
│ 56      │ 'hash32x4'     │ 1000 │ 'timestamps' │ 1200  │ 1000   │ 0       │
│ 57      │ 'hash128split' │ 1000 │ 'timestamps' │ 1200  │ 1000   │ 0       │
│ 58      │ 'hash32x4'     │ 1000 │ 'timestamps' │ 1300  │ 1000   │ 383     │
│ 59      │ 'hash128split' │ 1000 │ 'timestamps' │ 1300  │ 1000   │ 394     │
│ 60      │ 'hash32x4'     │ 1000 │ 'timestamps' │ 1400  │ 1000   │ 1000    │
│ 61      │ 'hash128split' │ 1000 │ 'timestamps' │ 1400  │ 1000   │ 1000    │
│ 62      │ 'hash32x4'     │ 1000 │ 'timestamps' │ 1500  │ 1000   │ 1000    │
│ 63      │ 'hash128split' │ 1000 │ 'timestamps' │ 1500  │ 1000   │ 1000    │
│ 64      │ 'hash32x4'     │ 1000 │ 'timestamps' │ 2000  │ 1000   │ 1000    │
│ 65      │ 'hash128split' │ 1000 │ 'timestamps' │ 2000  │ 1000   │ 1000    │
│ 66      │ 'hash32x4'     │ 1000 │ 'timestamps' │ 3000  │ 1000   │ 1000    │
│ 67      │ 'hash128split' │ 1000 │ 'timestamps' │ 3000  │ 1000   │ 1000    │
│ 68      │ 'hash32x4'     │ 1000 │ 'timestamps' │ 5000  │ 1000   │ 1000    │
│ 69      │ 'hash128split' │ 1000 │ 'timestamps' │ 5000  │ 1000   │ 1000    │
│ 70      │ 'hash32x4'     │ 1000 │ 'prefix'     │ 1200  │ 1000   │ 0       │
│ 71      │ 'hash128split' │ 1000 │ 'prefix'     │ 1200  │ 1000   │ 0       │
│ 72      │ 'hash32x4'     │ 1000 │ 'prefix'     │ 1300  │ 1000   │ 370     │
│ 73      │ 'hash128split' │ 1000 │ 'prefix'     │ 1300  │ 1000   │ 382     │
│ 74      │ 'hash32x4'     │ 1000 │ 'prefix'     │ 1400  │ 1000   │ 1000    │
│ 75      │ 'hash128split' │ 1000 │ 'prefix'     │ 1400  │ 1000   │ 1000    │
│ 76      │ 'hash32x4'     │ 1000 │ 'prefix'     │ 1500  │ 1000   │ 1000    │
│ 77      │ 'hash128split' │ 1000 │ 'prefix'     │ 1500  │ 1000   │ 1000    │
│ 78      │ 'hash32x4'     │ 1000 │ 'prefix'     │ 2000  │ 1000   │ 1000    │
│ 79      │ 'hash128split' │ 1000 │ 'prefix'     │ 2000  │ 1000   │ 999     │
│ 80      │ 'hash32x4'     │ 1000 │ 'prefix'     │ 3000  │ 1000   │ 1000    │
│ 81      │ 'hash128split' │ 1000 │ 'prefix'     │ 3000  │ 1000   │ 1000    │
│ 82      │ 'hash32x4'     │ 1000 │ 'prefix'     │ 5000  │ 1000   │ 1000    │
│ 83      │ 'hash128split' │ 1000 │ 'prefix'     │ 5000  │ 1000   │ 1000    │
└─────────┴────────────────┴──────┴──────────────┴───────┴────────┴─────────┘
